"full_name","email","department","role","sentiment_score","match_score"
"Lucas Ramirez","lucas.ramirez.cand@public.local","support","Customer Support Specialist","0.81","0.51"
"Mia Ramirez","mia.ramirez.cand@public.local","support","Customer Support Specialist","0.94","0.63"
"Ethan Ramirez","ethan.ramirez.cand@public.local","support","Customer Support Specialist","0.83","0.57"
"Amelia Ramirez","amelia.ramirez.cand@public.local","support","Customer Support Specialist","0.77","0.4"
"James Ramirez","james.ramirez.cand@public.local","technical","Software Engineer","0.57","0.65"
"Harper Ramirez","harper.ramirez.cand@public.local","technical","Software Engineer","0.18","0.96"
"Benjamin Ramirez","benjamin.ramirez.cand@public.local","technical","Software Engineer","0.67","0.71"
"Evelyn Ramirez","evelyn.ramirez.cand@public.local","management","Operations Manager","0.35","0.47"
"Elijah Ramirez","elijah.ramirez.cand@public.local","IT","IT Specialist","0.78","0.44"
"Abigail Ramirez","abigail.ramirez.cand@public.local","IT","IT Specialist","0.72","0.79"
"Daniel Ramirez","daniel.ramirez.cand@public.local","IT","IT Specialist","0.9","0.58"
"Ella Ramirez","ella.ramirez.cand@public.local","IT","IT Specialist","0.58","0.49"
"Aarav Shaw","aarav.shaw.cand@public.local","IT","IT Specialist","0.64","0.56"
"Olivia Shaw","olivia.shaw.cand@public.local","product_mng","Product Analyst","0.91","0.79"
"Noah Shaw","noah.shaw.cand@public.local","product_mng","Product Analyst","0.59","0.51"
"Emma Shaw","emma.shaw.cand@public.local","product_mng","Product Analyst","0.76","0.8"
"Liam Shaw","liam.shaw.cand@public.local","product_mng","Product Analyst","0.76","0.85"
"Sophia Shaw","sophia.shaw.cand@public.local","IT","IT Specialist","0.51","0.69"
"Mason Shaw","mason.shaw.cand@public.local","RandD","Research Associate","0.54","0.55"
"Isabella Shaw","isabella.shaw.cand@public.local","RandD","Research Associate","0.67","0.93"
"Lucas Shaw","lucas.shaw.cand@public.local","RandD","Research Associate","0.68","0.44"
"Mia Shaw","mia.shaw.cand@public.local","RandD","Research Associate","0.97","0.58"
"Ethan Shaw","ethan.shaw.cand@public.local","RandD","Research Associate","0.5","0.74"
"Amelia Shaw","amelia.shaw.cand@public.local","marketing","Growth Marketing Specialist","0.81","0.52"
"James Shaw","james.shaw.cand@public.local","sales","Account Executive","0.77","0.73"
"Harper Shaw","harper.shaw.cand@public.local","accounting","Business Associate","0.59","0.75"
"Benjamin Shaw","benjamin.shaw.cand@public.local","support","Customer Support Specialist","1","0.96"
"Evelyn Shaw","evelyn.shaw.cand@public.local","technical","Software Engineer","0.74","0.95"
"Elijah Shaw","elijah.shaw.cand@public.local","management","Operations Manager","0.91","0.52"
"Abigail Shaw","abigail.shaw.cand@public.local","marketing","Growth Marketing Specialist","0.77","0.65"
"Daniel Shaw","daniel.shaw.cand@public.local","marketing","Growth Marketing Specialist","0.79","0.98"
"Ella Shaw","ella.shaw.cand@public.local","marketing","Growth Marketing Specialist","0.82","0.51"
"Aarav Cruz","aarav.cruz.cand@public.local","sales","Account Executive","0.89","0.96"
"Olivia Cruz","olivia.cruz.cand@public.local","sales","Account Executive","0.83","0.62"
"Noah Cruz","noah.cruz.cand@public.local","sales","Account Executive","0.72","0.7"
"Emma Cruz","emma.cruz.cand@public.local","sales","Account Executive","0.7","0.74"
"Liam Cruz","liam.cruz.cand@public.local","sales","Account Executive","1","0.89"
"Sophia Cruz","sophia.cruz.cand@public.local","sales","Account Executive","0.57","0.66"
"Mason Cruz","mason.cruz.cand@public.local","sales","Account Executive","0.55","0.54"
"Isabella Cruz","isabella.cruz.cand@public.local","sales","Account Executive","0.47","0.7"
"Lucas Cruz","lucas.cruz.cand@public.local","sales","Account Executive","0.95","0.77"
"Mia Cruz","mia.cruz.cand@public.local","sales","Account Executive","0.29","0.57"
"Ethan Cruz","ethan.cruz.cand@public.local","sales","Account Executive","0.71","0.5"
"Amelia Cruz","amelia.cruz.cand@public.local","sales","Account Executive","0.89","0.68"
"James Cruz","james.cruz.cand@public.local","sales","Account Executive","0.81","0.97"
"Harper Cruz","harper.cruz.cand@public.local","sales","Account Executive","0.72","0.64"
"Benjamin Cruz","benjamin.cruz.cand@public.local","sales","Account Executive","1","0.85"
"Evelyn Cruz","evelyn.cruz.cand@public.local","sales","Account Executive","0.79","0.49"
"Elijah Cruz","elijah.cruz.cand@public.local","sales","Account Executive","0.69","0.84"
"Abigail Cruz","abigail.cruz.cand@public.local","sales","Account Executive","0.97","0.66"
"Daniel Cruz","daniel.cruz.cand@public.local","sales","Account Executive","0.61","0.59"
"Ella Cruz","ella.cruz.cand@public.local","accounting","Business Associate","0.71","0.89"
"Aarav Powell","aarav.powell.cand@public.local","accounting","Business Associate","0.96","0.76"
"Olivia Powell","olivia.powell.cand@public.local","accounting","Business Associate","0.77","0.73"
"Noah Powell","noah.powell.cand@public.local","hr","HR Generalist","0.57","0.99"
"Emma Powell","emma.powell.cand@public.local","hr","HR Generalist","0.92","0.76"
"Liam Powell","liam.powell.cand@public.local","hr","HR Generalist","0.99","0.92"
"Sophia Powell","sophia.powell.cand@public.local","hr","HR Generalist","0.86","0.73"
"Mason Powell","mason.powell.cand@public.local","technical","Software Engineer","0.78","0.66"
"Isabella Powell","isabella.powell.cand@public.local","technical","Software Engineer","0.85","0.66"
"Lucas Powell","lucas.powell.cand@public.local","technical","Software Engineer","0.38","0.6"
"Mia Powell","mia.powell.cand@public.local","technical","Software Engineer","0.63","0.93"
"Ethan Powell","ethan.powell.cand@public.local","technical","Software Engineer","0.66","0.72"
"Amelia Powell","amelia.powell.cand@public.local","technical","Software Engineer","0.19","0.79"
"James Powell","james.powell.cand@public.local","technical","Software Engineer","0.63","0.59"
"Harper Powell","harper.powell.cand@public.local","technical","Software Engineer","0.32","0.74"
"Benjamin Powell","benjamin.powell.cand@public.local","technical","Software Engineer","0.73","0.55"
"Evelyn Powell","evelyn.powell.cand@public.local","technical","Software Engineer","0.75","0.89"
"Elijah Powell","elijah.powell.cand@public.local","technical","Software Engineer","0.7","0.66"
"Abigail Powell","abigail.powell.cand@public.local","support","Customer Support Specialist","0.77","0.61"
"Daniel Powell","daniel.powell.cand@public.local","support","Customer Support Specialist","0.83","0.8"
"Ella Powell","ella.powell.cand@public.local","support","Customer Support Specialist","0.75","0.49"
"Aarav Murphy","aarav.murphy.cand@public.local","support","Customer Support Specialist","0.97","0.54"
"Olivia Murphy","olivia.murphy.cand@public.local","support","Customer Support Specialist","0.75","0.55"
"Noah Murphy","noah.murphy.cand@public.local","support","Customer Support Specialist","0.66","0.84"
"Emma Murphy","emma.murphy.cand@public.local","support","Customer Support Specialist","0.56","0.49"
"Liam Murphy","liam.murphy.cand@public.local","support","Customer Support Specialist","0.77","0.98"
"Sophia Murphy","sophia.murphy.cand@public.local","support","Customer Support Specialist","0.82","0.81"
"Mason Murphy","mason.murphy.cand@public.local","support","Customer Support Specialist","0.85","0.59"
"Isabella Murphy","isabella.murphy.cand@public.local","support","Customer Support Specialist","0.49","0.79"
"Lucas Murphy","lucas.murphy.cand@public.local","technical","Software Engineer","0.24","0.87"
"Mia Murphy","mia.murphy.cand@public.local","technical","Software Engineer","0.32","0.74"
"Ethan Murphy","ethan.murphy.cand@public.local","technical","Software Engineer","0.77","0.51"
"Amelia Murphy","amelia.murphy.cand@public.local","management","Operations Manager","0.77","0.83"
"James Murphy","james.murphy.cand@public.local","IT","IT Specialist","0.93","0.87"
"Harper Murphy","harper.murphy.cand@public.local","IT","IT Specialist","0.22","0.74"
"Benjamin Murphy","benjamin.murphy.cand@public.local","IT","IT Specialist","0.24","0.89"
"Evelyn Murphy","evelyn.murphy.cand@public.local","IT","IT Specialist","0.99","0.99"
"Elijah Murphy","elijah.murphy.cand@public.local","IT","IT Specialist","0.61","0.5"
"Abigail Murphy","abigail.murphy.cand@public.local","product_mng","Product Analyst","0.6","0.91"
"Daniel Murphy","daniel.murphy.cand@public.local","product_mng","Product Analyst","0.79","0.7"
"Ella Murphy","ella.murphy.cand@public.local","product_mng","Product Analyst","0.94","0.62"
"Aarav Hayes","aarav.hayes.cand@public.local","product_mng","Product Analyst","0.18","0.85"
"Olivia Hayes","olivia.hayes.cand@public.local","IT","IT Specialist","0.51","0.73"
"Noah Hayes","noah.hayes.cand@public.local","RandD","Research Associate","0.55","0.92"
"Emma Hayes","emma.hayes.cand@public.local","RandD","Research Associate","0.73","0.74"
"Liam Hayes","liam.hayes.cand@public.local","RandD","Research Associate","0.41","0.63"
"Sophia Hayes","sophia.hayes.cand@public.local","RandD","Research Associate","0.88","0.66"
"Mason Hayes","mason.hayes.cand@public.local","RandD","Research Associate","0.23","0.56"
"Isabella Hayes","isabella.hayes.cand@public.local","marketing","Growth Marketing Specialist","0.78","0.56"
"Lucas Hayes","lucas.hayes.cand@public.local","marketing","Growth Marketing Specialist","0.34","0.69"
"Mia Hayes","mia.hayes.cand@public.local","sales","Account Executive","0.51","0.41"
"Ethan Hayes","ethan.hayes.cand@public.local","accounting","Business Associate","0.8","0.86"
"Amelia Hayes","amelia.hayes.cand@public.local","support","Customer Support Specialist","0.66","0.57"
"James Hayes","james.hayes.cand@public.local","technical","Software Engineer","0.62","0.63"
"Harper Hayes","harper.hayes.cand@public.local","management","Operations Manager","0.5","0.97"
"Benjamin Hayes","benjamin.hayes.cand@public.local","marketing","Growth Marketing Specialist","0.96","0.94"
"Evelyn Hayes","evelyn.hayes.cand@public.local","marketing","Growth Marketing Specialist","0.5","0.84"
"Elijah Hayes","elijah.hayes.cand@public.local","marketing","Growth Marketing Specialist","0.73","0.69"
"Abigail Hayes","abigail.hayes.cand@public.local","sales","Account Executive","0.47","0.39"
"Daniel Hayes","daniel.hayes.cand@public.local","sales","Account Executive","0.49","0.83"
"Ella Hayes","ella.hayes.cand@public.local","sales","Account Executive","0.92","0.62"
"Aarav Parker","aarav.parker.cand@public.local","sales","Account Executive","0.24","0.39"
"Olivia Parker","olivia.parker.cand@public.local","sales","Account Executive","0.61","0.58"
"Noah Parker","noah.parker.cand@public.local","sales","Account Executive","0.83","0.89"
"Emma Parker","emma.parker.cand@public.local","sales","Account Executive","0.88","0.66"
"Liam Parker","liam.parker.cand@public.local","sales","Account Executive","0.61","0.55"
"Sophia Parker","sophia.parker.cand@public.local","sales","Account Executive","0.68","0.54"
"Mason Parker","mason.parker.cand@public.local","sales","Account Executive","0.51","0.7"
"Isabella Parker","isabella.parker.cand@public.local","sales","Account Executive","0.88","0.58"
"Lucas Parker","lucas.parker.cand@public.local","sales","Account Executive","0.94","0.84"
"Mia Parker","mia.parker.cand@public.local","sales","Account Executive","0.58","0.88"
"Ethan Parker","ethan.parker.cand@public.local","sales","Account Executive","0.63","0.98"
"Amelia Parker","amelia.parker.cand@public.local","sales","Account Executive","0.81","0.49"
"James Parker","james.parker.cand@public.local","sales","Account Executive","0.61","0.86"
"Harper Parker","harper.parker.cand@public.local","sales","Account Executive","0.65","0.63"
"Benjamin Parker","benjamin.parker.cand@public.local","sales","Account Executive","0.67","0.63"
"Evelyn Parker","evelyn.parker.cand@public.local","sales","Account Executive","0.64","0.62"
"Elijah Parker","elijah.parker.cand@public.local","accounting","Business Associate","0.25","0.76"
"Abigail Parker","abigail.parker.cand@public.local","accounting","Business Associate","0.13","0.62"
"Daniel Parker","daniel.parker.cand@public.local","accounting","Business Associate","0.14","0.89"
"Ella Parker","ella.parker.cand@public.local","hr","HR Generalist","0.74","0.51"
"Aarav Reed","aarav.reed.cand@public.local","hr","HR Generalist","0.8","0.81"
"Olivia Reed","olivia.reed.cand@public.local","hr","HR Generalist","0.5","0.56"
"Noah Reed","noah.reed.cand@public.local","hr","HR Generalist","0.69","0.75"
"Emma Reed","emma.reed.cand@public.local","technical","Software Engineer","0.91","0.53"
"Liam Reed","liam.reed.cand@public.local","technical","Software Engineer","0.8","0.51"
"Sophia Reed","sophia.reed.cand@public.local","technical","Software Engineer","0.93","0.52"
"Mason Reed","mason.reed.cand@public.local","technical","Software Engineer","0.57","0.99"
"Isabella Reed","isabella.reed.cand@public.local","technical","Software Engineer","0.51","0.58"
"Lucas Reed","lucas.reed.cand@public.local","technical","Software Engineer","0.98","0.54"
"Mia Reed","mia.reed.cand@public.local","technical","Software Engineer","0.85","0.83"
"Ethan Reed","ethan.reed.cand@public.local","technical","Software Engineer","0.73","0.56"
"Amelia Reed","amelia.reed.cand@public.local","technical","Software Engineer","0.97","0.9"
"James Reed","james.reed.cand@public.local","technical","Software Engineer","0.52","0.61"
"Harper Reed","harper.reed.cand@public.local","technical","Software Engineer","0.31","0.38"
"Benjamin Reed","benjamin.reed.cand@public.local","support","Customer Support Specialist","0.49","0.77"
"Evelyn Reed","evelyn.reed.cand@public.local","support","Customer Support Specialist","0.81","0.44"
"Elijah Reed","elijah.reed.cand@public.local","support","Customer Support Specialist","0.52","0.8"
"Abigail Reed","abigail.reed.cand@public.local","support","Customer Support Specialist","0.69","0.56"
"Daniel Reed","daniel.reed.cand@public.local","support","Customer Support Specialist","0.7","0.74"
"Ella Reed","ella.reed.cand@public.local","support","Customer Support Specialist","0.65","0.85"
"Aarav Patel","aarav.patel.cand@public.local","support","Customer Support Specialist","0.54","0.71"
"Olivia Patel","olivia.patel.cand@public.local","support","Customer Support Specialist","0.57","0.49"
"Noah Patel","noah.patel.cand@public.local","support","Customer Support Specialist","0.78","0.9"
"Emma Patel","emma.patel.cand@public.local","support","Customer Support Specialist","0.99","0.92"
"Liam Patel","liam.patel.cand@public.local","support","Customer Support Specialist","0.57","0.83"
"Sophia Patel","sophia.patel.cand@public.local","technical","Software Engineer","0.33","0.58"
"Mason Patel","mason.patel.cand@public.local","technical","Software Engineer","0.97","0.58"
"Isabella Patel","isabella.patel.cand@public.local","technical","Software Engineer","0.95","0.58"
"Lucas Patel","lucas.patel.cand@public.local","management","Operations Manager","0.69","0.83"
"Mia Patel","mia.patel.cand@public.local","IT","IT Specialist","0.97","0.91"
"Ethan Patel","ethan.patel.cand@public.local","IT","IT Specialist","0.4","0.59"
"Amelia Patel","amelia.patel.cand@public.local","IT","IT Specialist","0.67","0.71"
"James Patel","james.patel.cand@public.local","IT","IT Specialist","0.96","0.58"
"Harper Patel","harper.patel.cand@public.local","IT","IT Specialist","0.49","0.95"
"Benjamin Patel","benjamin.patel.cand@public.local","product_mng","Product Analyst","0.56","0.66"
"Evelyn Patel","evelyn.patel.cand@public.local","product_mng","Product Analyst","0.99","0.78"
"Elijah Patel","elijah.patel.cand@public.local","product_mng","Product Analyst","0.49","0.88"
"Abigail Patel","abigail.patel.cand@public.local","product_mng","Product Analyst","0.53","0.69"
"Daniel Patel","daniel.patel.cand@public.local","IT","IT Specialist","0.75","0.5"
"Ella Patel","ella.patel.cand@public.local","marketing","Growth Marketing Specialist","0.51","0.89"
"Aarav Kim","aarav.kim.cand@public.local","marketing","Growth Marketing Specialist","0.65","0.9"
"Olivia Kim","olivia.kim.cand@public.local","marketing","Growth Marketing Specialist","0.45","0.66"
"Noah Kim","noah.kim.cand@public.local","marketing","Growth Marketing Specialist","0.98","0.91"
"Emma Kim","emma.kim.cand@public.local","marketing","Growth Marketing Specialist","0.9","0.74"
"Liam Kim","liam.kim.cand@public.local","marketing","Growth Marketing Specialist","0.37","0.62"
"Sophia Kim","sophia.kim.cand@public.local","marketing","Growth Marketing Specialist","0.52","0.99"
"Mason Kim","mason.kim.cand@public.local","sales","Account Executive","0.96","0.78"
"Isabella Kim","isabella.kim.cand@public.local","accounting","Business Associate","0.99","0.7"
"Lucas Kim","lucas.kim.cand@public.local","support","Customer Support Specialist","0.66","0.56"
"Mia Kim","mia.kim.cand@public.local","technical","Software Engineer","0.84","0.54"
"Ethan Kim","ethan.kim.cand@public.local","management","Operations Manager","0.16","0.87"
"Amelia Kim","amelia.kim.cand@public.local","marketing","Growth Marketing Specialist","0.75","0.59"
"James Kim","james.kim.cand@public.local","marketing","Growth Marketing Specialist","0.52","0.74"
"Harper Kim","harper.kim.cand@public.local","marketing","Growth Marketing Specialist","0.86","0.86"
"Benjamin Kim","benjamin.kim.cand@public.local","sales","Account Executive","0.75","0.53"
"Evelyn Kim","evelyn.kim.cand@public.local","sales","Account Executive","0.73","0.99"
"Elijah Kim","elijah.kim.cand@public.local","sales","Account Executive","0.98","0.84"
"Abigail Kim","abigail.kim.cand@public.local","sales","Account Executive","0.8","0.84"
"Daniel Kim","daniel.kim.cand@public.local","sales","Account Executive","0.18","0.48"
"Ella Kim","ella.kim.cand@public.local","sales","Account Executive","0.37","0.72"
"Aarav Brooks","aarav.brooks.cand@public.local","sales","Account Executive","0.97","0.86"
"Olivia Brooks","olivia.brooks.cand@public.local","sales","Account Executive","0.56","0.68"
"Noah Brooks","noah.brooks.cand@public.local","sales","Account Executive","0.32","0.65"
"Emma Brooks","emma.brooks.cand@public.local","sales","Account Executive","0.63","0.88"
"Liam Brooks","liam.brooks.cand@public.local","sales","Account Executive","0.36","0.78"
"Sophia Brooks","sophia.brooks.cand@public.local","sales","Account Executive","0.75","0.49"
"Mason Brooks","mason.brooks.cand@public.local","sales","Account Executive","0.42","0.86"
"Isabella Brooks","isabella.brooks.cand@public.local","sales","Account Executive","0.96","0.66"
"Lucas Brooks","lucas.brooks.cand@public.local","sales","Account Executive","0.62","0.78"
"Mia Brooks","mia.brooks.cand@public.local","sales","Account Executive","0.78","0.96"
"Ethan Brooks","ethan.brooks.cand@public.local","sales","Account Executive","0.93","0.89"
"Amelia Brooks","amelia.brooks.cand@public.local","sales","Account Executive","0.93","0.87"
"James Brooks","james.brooks.cand@public.local","sales","Account Executive","0.45","0.42"
"Harper Brooks","harper.brooks.cand@public.local","accounting","Business Associate","0.44","0.56"
"Benjamin Brooks","benjamin.brooks.cand@public.local","accounting","Business Associate","0.57","0.55"
"Evelyn Brooks","evelyn.brooks.cand@public.local","accounting","Business Associate","0.77","0.51"
"Elijah Brooks","elijah.brooks.cand@public.local","hr","HR Generalist","0.6","0.98"
"Abigail Brooks","abigail.brooks.cand@public.local","hr","HR Generalist","0.25","0.94"
"Daniel Brooks","daniel.brooks.cand@public.local","hr","HR Generalist","0.59","0.43"
"Ella Brooks","ella.brooks.cand@public.local","hr","HR Generalist","0.29","0.57"
"Aarav Diaz","aarav.diaz.cand@public.local","technical","Software Engineer","0.5","0.95"
"Olivia Diaz","olivia.diaz.cand@public.local","technical","Software Engineer","0.91","0.94"
"Noah Diaz","noah.diaz.cand@public.local","technical","Software Engineer","0.78","0.65"
"Emma Diaz","emma.diaz.cand@public.local","technical","Software Engineer","0.73","0.76"
"Liam Diaz","liam.diaz.cand@public.local","technical","Software Engineer","0.51","0.59"
"Sophia Diaz","sophia.diaz.cand@public.local","technical","Software Engineer","0.65","0.82"
"Mason Diaz","mason.diaz.cand@public.local","technical","Software Engineer","0.25","0.87"
"Isabella Diaz","isabella.diaz.cand@public.local","technical","Software Engineer","0.5","0.63"
"Lucas Diaz","lucas.diaz.cand@public.local","technical","Software Engineer","0.53","0.58"
"Mia Diaz","mia.diaz.cand@public.local","technical","Software Engineer","0.57","0.76"
"Ethan Diaz","ethan.diaz.cand@public.local","technical","Software Engineer","0.77","0.91"
"Amelia Diaz","amelia.diaz.cand@public.local","support","Customer Support Specialist","0.94","0.77"
"James Diaz","james.diaz.cand@public.local","support","Customer Support Specialist","0.5","0.53"
"Harper Diaz","harper.diaz.cand@public.local","support","Customer Support Specialist","0.47","0.57"
"Benjamin Diaz","benjamin.diaz.cand@public.local","support","Customer Support Specialist","0.92","0.54"
"Evelyn Diaz","evelyn.diaz.cand@public.local","support","Customer Support Specialist","0.9","0.87"
"Elijah Diaz","elijah.diaz.cand@public.local","support","Customer Support Specialist","0.54","0.46"
"Abigail Diaz","abigail.diaz.cand@public.local","support","Customer Support Specialist","0.58","0.97"
"Daniel Diaz","daniel.diaz.cand@public.local","support","Customer Support Specialist","0.95","0.87"
"Ella Diaz","ella.diaz.cand@public.local","support","Customer Support Specialist","0.52","0.71"
"Aarav Singh","aarav.singh.cand@public.local","support","Customer Support Specialist","0.83","0.51"
"Olivia Singh","olivia.singh.cand@public.local","support","Customer Support Specialist","0.54","0.92"
"Noah Singh","noah.singh.cand@public.local","technical","Software Engineer","0.8","0.85"
"Emma Singh","emma.singh.cand@public.local","technical","Software Engineer","0.52","0.57"
"Liam Singh","liam.singh.cand@public.local","technical","Software Engineer","0.83","0.8"
"Sophia Singh","sophia.singh.cand@public.local","management","Operations Manager","0.74","0.55"
"Mason Singh","mason.singh.cand@public.local","IT","IT Specialist","0.87","0.71"
"Isabella Singh","isabella.singh.cand@public.local","IT","IT Specialist","0.45","0.87"
"Lucas Singh","lucas.singh.cand@public.local","IT","IT Specialist","0.72","0.72"
"Mia Singh","mia.singh.cand@public.local","IT","IT Specialist","0.27","0.85"
"Ethan Singh","ethan.singh.cand@public.local","IT","IT Specialist","0.51","0.88"
"Amelia Singh","amelia.singh.cand@public.local","product_mng","Product Analyst","0.55","0.55"
"James Singh","james.singh.cand@public.local","product_mng","Product Analyst","0.89","0.69"
"Harper Singh","harper.singh.cand@public.local","product_mng","Product Analyst","0.85","0.86"
"Benjamin Singh","benjamin.singh.cand@public.local","product_mng","Product Analyst","0.29","0.85"
"Evelyn Singh","evelyn.singh.cand@public.local","IT","IT Specialist","0.96","0.5"
"Elijah Singh","elijah.singh.cand@public.local","RandD","Research Associate","0.9","0.68"
"Abigail Singh","abigail.singh.cand@public.local","RandD","Research Associate","0.28","0.94"
"Daniel Singh","daniel.singh.cand@public.local","RandD","Research Associate","0.93","0.98"
"Ella Singh","ella.singh.cand@public.local","RandD","Research Associate","0.51","0.57"
"Aarav Martinez","aarav.martinez.cand@public.local","RandD","Research Associate","0.97","0.76"
"Olivia Martinez","olivia.martinez.cand@public.local","RandD","Research Associate","0.71","0.55"
"Noah Martinez","noah.martinez.cand@public.local","marketing","Growth Marketing Specialist","0.52","0.69"
"Emma Martinez","emma.martinez.cand@public.local","sales","Account Executive","0.87","0.84"
"Liam Martinez","liam.martinez.cand@public.local","accounting","Business Associate","0.78","0.61"
"Sophia Martinez","sophia.martinez.cand@public.local","support","Customer Support Specialist","0.57","0.82"
"Mason Martinez","mason.martinez.cand@public.local","technical","Software Engineer","0.34","0.49"
"Isabella Martinez","isabella.martinez.cand@public.local","management","Operations Manager","0.95","0.95"
"Lucas Martinez","lucas.martinez.cand@public.local","marketing","Growth Marketing Specialist","0.72","0.73"
"Mia Martinez","mia.martinez.cand@public.local","marketing","Growth Marketing Specialist","0.61","0.37"
"Ethan Martinez","ethan.martinez.cand@public.local","marketing","Growth Marketing Specialist","0.39","0.39"
"Amelia Martinez","amelia.martinez.cand@public.local","sales","Account Executive","0.72","0.59"
"James Martinez","james.martinez.cand@public.local","sales","Account Executive","0.86","0.91"
"Harper Martinez","harper.martinez.cand@public.local","sales","Account Executive","0.69","0.67"
"Benjamin Martinez","benjamin.martinez.cand@public.local","sales","Account Executive","0.5","0.65"
"Evelyn Martinez","evelyn.martinez.cand@public.local","sales","Account Executive","0.62","0.68"
"Elijah Martinez","elijah.martinez.cand@public.local","sales","Account Executive","0.76","0.55"
"Abigail Martinez","abigail.martinez.cand@public.local","sales","Account Executive","0.97","0.88"
"Daniel Martinez","daniel.martinez.cand@public.local","sales","Account Executive","0.78","0.57"
"Ella Martinez","ella.martinez.cand@public.local","sales","Account Executive","0.81","0.89"
"Aarav Walker","aarav.walker.cand@public.local","sales","Account Executive","0.15","0.95"
"Olivia Walker","olivia.walker.cand@public.local","sales","Account Executive","0.72","0.5"
"Noah Walker","noah.walker.cand@public.local","sales","Account Executive","0.8","0.5"
"Emma Walker","emma.walker.cand@public.local","sales","Account Executive","0.76","0.74"
"Liam Walker","liam.walker.cand@public.local","sales","Account Executive","0.19","0.73"
"Sophia Walker","sophia.walker.cand@public.local","sales","Account Executive","0.75","0.75"
"Mason Walker","mason.walker.cand@public.local","sales","Account Executive","0.94","0.49"
"Isabella Walker","isabella.walker.cand@public.local","sales","Account Executive","0.93","0.59"
"Lucas Walker","lucas.walker.cand@public.local","sales","Account Executive","0.96","0.92"
"Mia Walker","mia.walker.cand@public.local","sales","Account Executive","0.14","0.57"
"Ethan Walker","ethan.walker.cand@public.local","accounting","Business Associate","0.75","0.71"
"Amelia Walker","amelia.walker.cand@public.local","accounting","Business Associate","0.6","0.59"
"James Walker","james.walker.cand@public.local","accounting","Business Associate","0.65","0.48"
"Harper Walker","harper.walker.cand@public.local","hr","HR Generalist","0.59","0.79"
"Benjamin Walker","benjamin.walker.cand@public.local","hr","HR Generalist","0.93","0.78"
"Evelyn Walker","evelyn.walker.cand@public.local","hr","HR Generalist","0.5","1"
"Elijah Walker","elijah.walker.cand@public.local","hr","HR Generalist","0.62","0.55"
"Abigail Walker","abigail.walker.cand@public.local","technical","Software Engineer","0.24","0.58"
"Daniel Walker","daniel.walker.cand@public.local","technical","Software Engineer","0.66","0.87"
"Ella Walker","ella.walker.cand@public.local","technical","Software Engineer","0.55","0.95"
"Aarav Evans","aarav.evans.cand@public.local","technical","Software Engineer","0.91","0.66"
"Olivia Evans","olivia.evans.cand@public.local","technical","Software Engineer","0.59","0.51"
"Noah Evans","noah.evans.cand@public.local","technical","Software Engineer","0.74","0.54"
"Emma Evans","emma.evans.cand@public.local","technical","Software Engineer","0.43","0.51"
"Liam Evans","liam.evans.cand@public.local","technical","Software Engineer","0.85","0.99"
"Sophia Evans","sophia.evans.cand@public.local","technical","Software Engineer","0.46","0.54"
"Mason Evans","mason.evans.cand@public.local","technical","Software Engineer","0.48","0.56"
"Isabella Evans","isabella.evans.cand@public.local","technical","Software Engineer","0.96","1"
"Lucas Evans","lucas.evans.cand@public.local","support","Customer Support Specialist","0.55","0.9"
"Mia Evans","mia.evans.cand@public.local","support","Customer Support Specialist","0.82","0.74"
"Ethan Evans","ethan.evans.cand@public.local","support","Customer Support Specialist","0.24","0.65"
"Amelia Evans","amelia.evans.cand@public.local","support","Customer Support Specialist","0.69","0.71"
"James Evans","james.evans.cand@public.local","support","Customer Support Specialist","0.29","0.68"
"Harper Evans","harper.evans.cand@public.local","support","Customer Support Specialist","0.53","0.7"
"Benjamin Evans","benjamin.evans.cand@public.local","support","Customer Support Specialist","0.65","0.77"
"Evelyn Evans","evelyn.evans.cand@public.local","support","Customer Support Specialist","0.57","0.53"
"Elijah Evans","elijah.evans.cand@public.local","support","Customer Support Specialist","0.6","0.5"
"Abigail Evans","abigail.evans.cand@public.local","support","Customer Support Specialist","0.79","0.55"
"Daniel Evans","daniel.evans.cand@public.local","support","Customer Support Specialist","0.41","0.5"
"Ella Evans","ella.evans.cand@public.local","technical","Software Engineer","0.79","0.72"
"Aarav Lopez","aarav.lopez.cand@public.local","technical","Software Engineer","0.5","0.8"
"Olivia Lopez","olivia.lopez.cand@public.local","technical","Software Engineer","0.8","0.76"
"Noah Lopez","noah.lopez.cand@public.local","management","Operations Manager","0.61","0.79"
"Emma Lopez","emma.lopez.cand@public.local","IT","IT Specialist","0.99","0.68"
"Liam Lopez","liam.lopez.cand@public.local","IT","IT Specialist","0.77","0.86"
"Sophia Lopez","sophia.lopez.cand@public.local","IT","IT Specialist","0.7","0.52"
"Mason Lopez","mason.lopez.cand@public.local","IT","IT Specialist","0.55","0.87"
"Isabella Lopez","isabella.lopez.cand@public.local","IT","IT Specialist","0.87","0.63"
"Lucas Lopez","lucas.lopez.cand@public.local","product_mng","Product Analyst","0.97","0.6"
"Mia Lopez","mia.lopez.cand@public.local","product_mng","Product Analyst","0.56","0.99"
"Ethan Lopez","ethan.lopez.cand@public.local","product_mng","Product Analyst","0.99","0.81"
"Amelia Lopez","amelia.lopez.cand@public.local","product_mng","Product Analyst","0.57","0.66"
"James Lopez","james.lopez.cand@public.local","IT","IT Specialist","1","0.84"
